filename_stem,pdb_id,stage,detail,heavy_species,anarci_chain_type
1h8n_Aa_ag_m0,1h8n,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
1h8o_Aa_ag_m0,1h8o,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
1h8o_Bb_ag_m0,1h8o,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
1h8s_Aa_aga_m0,1h8s,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
1h8s_Bb_ag_m0,1h8s,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
1moe_Aa_ag_m0,1moe,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
1moe_Bb_ag_m0,1moe,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
3auv_Aa_ag_m0,3auv,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,K
3auv_Bb_ag_m0,3auv,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,K
3auv_Cc_ag_m0,3auv,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,K
